timestamp,GR,PAR,Rn,Tair,Tsoil,RH,VPD,SWC,P,G,qc_G,Tau,qc_Tau_SSITC,qc_Tau_forGF,H,qc_H_SSITC,qc_H_forGF,LE,qc_LE_SSITC,qc_LE_forGF,NEE,qc_NEE_SSITC,qc_NEE_forGF,qc_NEE_forGF_UF,wind_speed,wind_dir,ustar,H_f,LE_f,NEE_uStar_f,ET_f,Reco_uStar,GPP_uStar_f,Reco_DT_uStar,GPP_DT_uStar
-,W*m-2,umol*m-2*s-1,W*m-2,degC,degC,%,hPa,%,mm,W*m-2,-,kg*m-1*s-2,#,-,W*m-2,#,-,W*m-2,#,-,umol*m-2*s-1,#,-,-,m*s-1,deg_from_north,m*s-1,W*m-2,W*m-2,umol*m-2*s-1,mm*hour-1,umol*m-2*s-1,umol*m-2*s-1,umol*m-2*s-1,umol*m-2*s-1
2023-07-23 00:30,0,0,-65.7193,18.5336,17.8816,58.8206,8.78692,15.3518,0,-1.78604,0,-0.0563571,1,1,3.5624,2,2,-8.51537,1,1,-1.60378,2,2,2,1.37896,327.157,0.218471,-33.9074,-8.51537,4.70612,-0.0124763,5.14251,0.436388,6.36494,0
2023-07-23 01:00,0,0,-64.2374,17.0405,17.7057,66.2133,6.56244,15.3438,0,-2.974,0,0.0148872,1,1,-48.65469,1,1,16.01797,1,1,10.57128,1,1,2,1.22116,27.7892,0.112016,-48.6547,16.018,6.24811,0.0234351,5.08254,-1.16556,6.33137,0
2023-07-23 01:30,0,0,-66.0441,16.726,17.5638,67.7277,6.14447,15.3348,0,-3.71356,0,-0.0113606,0,0,-19.48399,0,0,7.18658,1,1,4.29315,0,0,2,1.90791,77.5462,0.0978338,-19.484,7.18658,6.37343,0.0105111,5.03368,-1.33975,6.3071,0
2023-07-23 02:00,0,0,-66.2065,15.8349,17.3919,75.6254,4.3846,15.3197,0,-4.61657,0,0.00702014,2,2,-40.4411,0,0,32.01597,1,1,12.793499,1,1,2,2.00056,116.211,0.0767958,-40.4411,32.016,5.78618,0.0467866,4.97569,-0.810496,6.27426,0
2023-07-23 02:30,0,0,-66.2026,14.9914,17.2354,80.9557,3.24527,15.3094,0,-5.50859,0,-0.0190107,0,0,-44.4129,0,0,12.21156,0,0,8.81365,0,0,0,2.05027,129.878,0.126175,-44.4129,12.2116,8.81365,0.0178309,4.92287,-3.89078,6.24555,0
2023-07-23 03:00,0,0,-65.7907,14.5061,17.1016,83.8734,2.66338,15.3003,0,-6.04156,0,-0.00864887,1,1,-16.07098,0,0,5.05451,1,1,1.862979,0,0,2,1.47879,159.3,0.0850404,-16.071,5.05451,5.69076,0.00737699,4.87739,-0.813366,6.22303,0
2023-07-23 03:30,0,0,-65.3454,13.9077,16.9461,87.48,1.9891,15.2907,0,-6.72874,0,-0.00711792,0,0,-22.52059,0,0,1.33746,1,1,7.609246,1,1,2,0.748867,204.488,0.0770426,-22.5206,1.33746,6.30725,0.00195088,4.82548,-1.48177,6.19425,0
2023-07-23 04:00,0,0,-63.373,13.8139,16.8153,87.1241,2.03322,15.2815,0,-7.29855,0,0.00612053,1,1,-1.121698,1,1,-4.45563,1,1,-6.94793,2,2,2,1.58854,146.132,0.0714373,-1.1217,-4.45563,6.30725,-0.00649861,4.78145,-1.52581,6.17224,0
2023-07-23 04:30,3.52026,6.701,-59.0275,13.791,16.6885,86.0572,2.19841,15.2715,0,-7.72882,0,-0.00182777,2,2,4.77715,1,2,-16.56514,2,2,-2.83183,1,2,2,2.38056,148.405,0.039057,-45.4231,9.88968,6.30725,0.0144239,4.73887,-1.56838,6.1512,0.436671
2023-07-23 05:00,36.3916,58.0816,-34.3005,13.5864,16.5839,88.6309,1.76892,15.2619,0,-8.02224,0,-0.00670715,1,1,-22.72832,1,2,32.44361,2,2,9.869,1,2,2,1.88652,141.171,0.0747704,-13.0971,7.64348,7.25264,0.0111457,4.70325,-2.54939,6.13627,4.19396
2023-07-23 05:30,90.61,143.477,5.83974,13.5813,16.5089,90.3575,1.49976,15.2545,0,-8.04327,0,-0.00148128,1,1,-9.12804,1,2,9.672644,2,2,2.085536,2,2,2,1.35241,136.921,0.0351215,-7.12622,34.2801,0.198424,0.0499869,4.67675,4.47833,6.12957,9.3451
2023-07-23 06:00,166.825,273.136,65.696,13.959,16.4686,88.3286,1.86046,15.2512,0,-7.80951,0,-0.0221173,0,0,3.978769,2,2,-0.693286,2,2,-2.91038,1,2,2,2.0444,121.014,0.135732,32.6219,42.2674,-8.25067,0.0616564,4.66083,12.9115,6.13259,14.9882
2023-07-23 06:30,260.886,439.058,140.594,15.3793,16.4784,83.7197,2.84431,15.2451,0,-6.99916,0,-0.116864,1,1,67.6941,0,0,53.1945,0,0,-20.47825,0,0,0,1.4668,142.213,0.31275,67.6941,53.1945,-20.4782,0.0777019,4.66005,25.1383,6.14978,20.2205
2023-07-23 07:00,345.388,591.29,212.845,16.8058,16.5612,77.806,4.24708,15.2399,0,-5.81485,0,-0.174289,1,1,90.3053,0,0,78.3574,0,0,-15.20943,0,0,0,1.45465,155.62,0.382866,90.3053,78.3574,-15.2094,0.114615,4.68134,19.8908,6.18781,23.8305
2023-07-23 07:30,419.23,738.845,275.048,18.327,16.705,69.6022,6.40293,15.2367,0,-4.55042,0,-0.176249,1,1,114.3728,0,0,86.6847,0,0,-22.87311,1,1,1,1.31209,171.946,0.38601,114.373,86.6847,-22.8731,0.126981,4.72116,27.5943,6.2435,26.3931
2023-07-23 08:00,515.099,920.822,356.304,19.6716,16.907,65.4268,7.91966,15.2384,0,-2.75217,0,-0.22354,1,1,149.6729,0,0,138.5263,0,0,-21.33465,0,0,0,1.61734,168.235,0.435752,149.673,138.526,-21.3346,0.203186,4.77888,26.1135,6.3163,29.1162
2023-07-23 08:30,598.862,1082.55,428.318,21.0651,17.231,63.2054,9.18551,15.2435,0,-0.411679,0,-0.321231,1,1,190.4123,0,0,174.7004,0,0,-25.81026,0,0,0,1.73689,171.108,0.523659,190.412,174.7,-25.8103,0.25659,4.87445,30.6847,6.42503,31.0773
2023-07-23 09:00,661.624,1206.63,483.419,22.334,17.5155,57.6359,11.4283,15.2505,0,1.96124,0,-0.442936,1,1,198.5232,0,0,197.69976,0,0,-27.24555,0,0,0,2.14052,171.558,0.61627,198.523,197.7,-27.2456,0.290727,4.95861,32.2042,6.52318,31.67
2023-07-23 09:30,736.92,1359.74,552.701,23.4258,17.8636,53.486,13.4052,15.2594,0,4.69303,0,-0.528606,1,1,247.5576,1,1,241.06119,0,0,-38.0349,1,1,1,2.03881,172.741,0.67445,247.558,241.061,-38.0349,0.354867,5.06336,43.0983,6.64088,31.9576
2023-07-23 10:00,702.648,1318.59,529.438,24.3545,18.1493,50.5278,15.0758,15.2718,0,6.58338,0,-0.409213,1,1,188.597,0,0,295.252392,0,0,-33.67132,0,0,0,1.83731,170.956,0.59441,188.597,295.252,-33.6713,0.435034,5.14933,38.8206,6.74113,30.6384
2023-07-23 10:30,812.503,1529.7,615.369,25.4867,18.3593,43.7857,18.3262,15.2777,0,7.98081,0,-0.675408,0,0,212.9224,0,0,229.0296,0,0,-22.515889,0,0,0,2.78756,171.679,0.764978,212.922,229.03,-22.5159,0.33783,5.21181,27.7277,6.81959,30.4826
2023-07-23 11:00,858.254,1614.34,652.316,26.3326,18.5867,38.14,21.2014,15.2818,0,9.55787,0,-0.887489,0,0,226.26,0,0,288.4325,0,0,-21.67016,0,0,0,2.99949,168.426,0.878033,226.26,288.432,-21.6702,0.425802,5.28018,26.9503,6.90381,29.5217
2023-07-23 11:30,878.364,1658.33,669.414,26.8054,18.7776,33.4209,23.4627,15.2826,0,10.6729,0,-1.03274,0,1,199.5042,0,1,298.8845,0,1,-18.241293,0,1,1,3.67943,171.411,0.947844,199.504,298.884,-18.2413,0.441435,5.33717,23.5785,6.97761,28.6011
2023-07-23 12:00,883.126,1675.64,672.983,27.225,18.9398,32.1137,24.5196,15.2793,0,11.3568,0,-0.851466,0,1,210.1311,0,1,266.10994,0,1,-16.576911,0,1,1,3.48697,173.581,0.861339,210.131,266.11,-16.5769,0.393189,5.38513,21.962,7.04318,28.1566
2023-07-23 12:30,860.525,1636.79,654.385,27.5863,19.0881,31.678,25.2038,15.2784,0,11.8896,0,-0.553187,0,0,202.8307,0,0,406.21188,0,0,-19.509369,0,0,0,2.15197,182.672,0.694814,202.831,406.212,-19.5094,0.600407,5.42875,24.9381,7.10491,27.6813
2023-07-23 13:00,862.604,1654.3,654.846,27.9921,19.2389,30.1844,26.3716,15.2784,0,12.4636,0,-0.715923,0,0,184.9553,0,0,333.2327,0,0,-19.056531,0,0,0,2.35353,191.575,0.791003,184.955,333.233,-19.0565,0.492733,5.47331,24.5298,7.16774,27.1858
2023-07-23 13:30,834.31,1601.12,628.616,28.2698,19.3995,28.9892,27.2599,15.2795,0,13.048,0,-0.801009,0,0,174.85705,0,0,298.12477,0,0,-16.966911,0,0,0,3.2659,160.905,0.837233,174.857,298.125,-16.9669,0.44094,5.5212,22.4881,7.23395,26.5926
2023-07-23 14:00,753.832,1450.13,560.351,28.4623,19.5135,29.2805,27.4532,15.2792,0,13.2959,0,-0.750176,0,2,135.42318,0,2,364.22718,0,2,-20.3452003,0,2,2,3.09158,153.889,0.810654,135.931,321.673,-19.1618,0.475858,5.55399,24.7158,7.28613,25.8536
2023-07-23 14:30,723.736,1393.74,536.204,28.6868,19.6208,29.301,27.8049,15.2781,0,13.4786,0,-0.616899,0,0,110.7772,0,0,294.9221,0,0,-18.014958,0,0,0,3.01935,171.501,0.73556,110.777,294.922,-18.015,0.436381,5.58463,23.5996,7.33649,25.4593
2023-07-23 15:00,683.444,1320.62,498.782,29.0004,19.7323,28.4028,28.6737,15.2769,0,14.014,0,-0.86815,0,0,135.13463,0,0,285.96271,0,0,-16.351628,0,0,0,3.63429,165.376,0.873138,135.135,285.963,-16.3516,0.423253,5.61671,21.9683,7.3884,24.7418
2023-07-23 15:30,640.102,1242.33,463.194,29.1607,19.7778,29.2073,28.6151,15.2766,0,13.816,0,-0.75921,0,1,83.93418,0,1,218.487,0,1,-14.056036,0,1,1,3.65393,168.636,0.816958,83.9342,218.487,-14.056,0.323433,5.6271,19.6831,7.4199,24.3347
2023-07-23 16:00,548.24,1066.63,381.181,29.3813,19.8367,31.0252,28.2372,15.2759,0,13.7118,0,-0.758157,0,0,89.05798,0,0,301.4979,0,0,-16.47319,0,0,0,2.73046,171.359,0.816918,89.058,301.498,-16.4732,0.446413,5.64191,22.1151,7.4557,23.3383
2023-07-23 16:30,349.849,690.925,214.464,29.09,19.8574,32.1469,27.3151,15.278,0,13.4673,0,-0.541477,0,2,2.40686,0,2,204.0992,0,2,-11.508356,0,2,2,2.96114,170.359,0.690225,4.13898,150.595,-10.6417,0.222915,5.64413,16.2858,7.47959,19.8616
2023-07-23 17:00,419.088,809.402,281.56,29.0409,19.8725,32.9139,26.9298,15.2801,0,13.0213,0,-0.575929,0,0,4.53018,0,0,210.8023,0,0,-15.169376,0,0,0,2.91885,172.543,0.711916,4.53018,210.802,-15.1694,0.312021,5.6445,20.8139,7.50175,21.5847
2023-07-23 17:30,385.921,732.219,253.967,28.7027,19.9235,35.9113,25.2283,15.2842,0,13.102,0,-0.698165,0,2,6.60752,0,2,181.9209,0,2,-12.119124,0,2,2,3.42291,175.828,0.783622,8.47221,159.338,-12.2141,0.235767,5.65668,17.8707,7.53531,21.3371
2023-07-23 18:00,252.284,479.718,129.298,28.2819,19.9465,39.0943,23.3971,15.2885,0,12.9251,0,-0.700637,0,0,-41.0623,1,1,181.5653,0,0,-7.216975,0,0,0,3.20299,175.454,0.784655,-41.0623,181.565,-7.21698,0.268547,5.65963,12.8766,7.56007,17.6838
2023-07-23 18:30,146.882,284.571,31.4443,27.8063,19.904,38.7039,22.9043,15.2918,0,12.1799,0,-0.814481,0,0,-63.8888,0,0,85.3136,0,0,-3.850481,0,0,0,3.34134,174.275,0.845307,-63.8888,85.3136,-3.85048,0.126126,5.64103,9.49152,7.564,12.7322
2023-07-23 19:00,54.8333,116.576,-40.422,27.115,19.8318,39.9103,21.5641,15.2923,0,11.1666,0,-0.318852,0,1,-52.0046,0,1,17.53593,0,1,-0.405117,1,2,2,3.25415,169.749,0.528288,-52.0046,17.5359,1.38475,0.0259073,5.61274,4.22799,7.55836,5.97468
2023-07-23 19:30,25.6401,54.2608,-59.8399,26.3543,19.7547,43.1077,19.5238,15.2967,0,10.2242,0,-0.299986,0,0,-73.7803,0,0,29.799,0,0,1.154476,0,0,0,2.63188,173.163,0.511829,-73.7803,29.799,1.15448,0.0439921,5.58294,4.42846,7.55105,3.04029
2023-07-23 20:00,1.60177,4.10027,-78.7334,25.7701,19.6556,47.3359,17.4596,15.2992,0,9.22104,0,-0.382667,0,1,-72.487,0,2,37.15877,2,2,2.899236,0,2,2,3.54063,168.09,0.577586,-45.9824,22.8206,4.0325,0.0336708,5.54607,1.51357,7.53656,0.203612
2023-07-23 20:30,0,0,-77.7598,25.2518,19.549,51.5511,15.5758,15.2996,0,8.04825,0,-0.384843,0,0,-74.3381,0,0,24.8525,1,1,3.71311,0,0,0,3.25919,167.232,0.578809,-74.3381,24.8525,3.71311,0.0366503,5.50691,1.7938,7.51953,0
2023-07-23 21:00,0,0,-75.5419,24.6746,19.4716,55.584,13.7965,15.2992,0,7.27573,0,-0.274087,0,0,-71.913,0,1,32.61404,2,2,3.80222,0,1,1,2.85267,163.576,0.488066,-71.913,12.2096,3.80222,0.0179955,5.47734,1.67512,7.51174,0
2023-07-23 21:30,0,0,-66.2611,24.179,19.4034,59.685,12.1568,15.2987,0,6.72182,0,-0.34938,0,1,-65.4398,0,2,24.14034,1,2,3.67776,0,2,2,3.35638,167.462,0.550623,-53.0915,13.8248,5.0389,0.0203665,5.45084,0.411938,7.50679,0
2023-07-23 22:00,0,0,-51.194,23.9367,19.3432,63.5337,10.8376,15.298,0,6.20657,0,-0.42999,0,0,-57.11927,0,0,22.0471,0,0,3.603304,0,0,0,3.0929,167.5,0.610675,-57.1193,22.0471,3.6033,0.0324717,5.42699,1.82369,7.50432,0
2023-07-23 22:30,0,0,-51.8789,23.8118,19.3146,66.9752,9.74141,15.2977,0,5.99182,0,-0.258941,0,0,-38.59892,0,1,42.98332,2,2,1.501787,0,1,1,2.58055,175.055,0.473854,-38.5989,10.1873,1.50179,0.0150024,5.41334,3.91156,7.51199,0
2023-07-23 23:00,0,0,-52.2525,23.5791,19.2993,69.5029,8.87074,15.2984,0,5.95315,0,-0.261178,0,0,-35.61706,0,0,14.77363,1,1,2.060429,0,0,0,2.47443,181.165,0.475751,-35.6171,14.7736,2.06043,0.0217515,5.40398,3.34355,7.52392,0
2023-07-23 23:30,0,0,-55.1582,23.1704,19.2831,72.0655,7.92754,15.2992,0,5.923,0,-0.258962,0,0,-50.6847,0,0,3.09372,1,1,4.077436,0,0,0,2.30358,184.922,0.473486,-50.6847,3.09372,4.07744,0.00455315,5.39434,1.31691,7.4942,0
2023-07-24 00:00,0,0,-41.077,22.9793,19.2672,73.7028,7.37717,15.3007,0,5.8512,0,-0.314791,0,0,-34.58517,0,1,6.05593,2,2,2.71729,0,1,1,2.45542,181.33,0.521886,-34.5852,9.41552,2.71729,0.0138546,5.38481,2.66752,7.46462,0
2023-07-24 00:30,0,0,-48.8535,22.6872,19.2552,75.829,6.66184,15.3024,0,5.80742,0,-0.253217,0,0,-37.36454,0,1,8.588779,2,2,3.36747,0,1,1,2.40946,182.254,0.467882,-37.3645,9.84281,3.36747,0.0144793,5.37654,2.00907,7.43632,0
2023-07-24 01:00,0,0,-52.0825,22.1826,19.2362,78.6724,5.70072,15.3041,0,5.71922,0,-0.20466,0,0,-51.8816,0,0,8.35841,1,1,5.63861,1,1,1,2.04215,178.392,0.420351,-51.8816,8.35841,5.63861,0.0122896,5.36604,-0.272572,7.4058,0
2023-07-24 01:30,0,0,-55.4647,21.6435,19.1937,81.4816,4.78972,15.3054,0,5.45633,0,-0.0445471,0,0,-37.1006,0,0,1.595324,0,0,4.2696,1,1,1,1.28604,196.633,0.195955,-37.1006,1.59532,4.2696,0.00234443,5.34807,1.07847,7.36783,0
2023-07-24 02:00,0,0,-64.2679,21.278,19.1371,83.008,4.29768,15.305,0,5.02562,0,-0.118922,0,0,-33.1001,0,1,-1.823426,2,2,3.60851,0,1,1,1.84545,193.297,0.319979,-33.1001,7.58999,3.60851,0.01115,5.32566,1.71715,7.32547,0
2023-07-24 02:30,0,0,-67.7759,20.7244,19.0694,85.5301,3.53745,15.305,0,4.52691,0,-0.0812615,0,0,-33.1695,0,1,-2.986904,2,2,2.368609,2,2,2,1.57901,173.359,0.264275,-33.1695,7.43411,6.03131,0.0109152,5.29979,-0.731513,7.27973,0
2023-07-24 03:00,0,0,-55.3401,20.3219,18.988,87.5732,2.96353,15.3038,0,3.95197,0,-0.056678,1,1,-25.6262,1,1,-2.87431,1,1,4.04752,1,1,1,1.65513,152.533,0.220579,-25.6262,-2.87431,4.04752,-0.00421859,5.26968,1.22216,7.22983,0
2023-07-24 03:30,0,0,-61.8992,19.717,18.9022,90.32,2.22364,15.3082,0,3.36006,0,-0.0440657,0,0,-32.2528,0,1,-5.98756,2,2,7.79784,2,2,2,2.18241,136.158,0.194343,-32.2528,4.71806,6.00804,0.0069206,5.23828,-0.769759,7.17875,0
2023-07-24 04:00,0,0,-58.2133,19.2458,18.809,90.7614,2.06098,15.3075,0,2.72902,0,-0.0170425,0,0,-25.3058,0,1,-20.60648,2,2,9.60336,1,2,2,2.34124,131.457,0.120749,-25.3058,4.42951,6.21791,0.00649439,5.20468,-1.01323,7.12556,0
2023-07-24 04:30,1.96837,4.97038,-63.3922,18.7054,18.7117,91.0841,1.92306,15.302,0,2.12083,0,-0.0289644,0,0,-38.6037,0,1,-33.92594,2,2,13.16654,0,1,1,2.3918,126.063,0.157234,-38.6037,6.04089,13.1665,0.00885231,5.16993,-7.99661,7.07132,0.243705
2023-07-24 05:00,32.7277,56.304,-37.8651,18.5808,18.6164,89.1972,2.31195,15.2982,0,1.53087,0,-0.0452435,1,1,-23.42453,0,0,-23.01077,1,1,3.43039,0,0,0,2.4616,122.758,0.19644,-23.4245,-23.0108,3.43039,-0.0337159,5.13593,1.70554,7.01793,3.76689
2023-07-24 05:30,94.9486,154.846,13.9558,18.6324,18.536,88.4457,2.48077,15.2937,0,1.0893,0,-0.0464304,0,0,-10.70598,0,0,-2.55107,0,0,-2.270101,2,2,2,2.66269,119.132,0.198988,-10.706,-2.55107,-2.18722,-0.00373807,5.10669,7.29391,6.96937,9.58896
2023-07-24 06:00,182.929,300.151,90.1034,19.4037,18.5003,85.6004,3.24405,15.2901,0,0.97841,0,-0.123002,0,0,25.84447,0,0,34.75,0,0,-10.23238,0,0,0,2.35127,118.77,0.324282,25.8445,34.75,-10.2324,0.050957,5.09138,15.3238,6.93472,15.7596
2023-07-24 06:30,219.418,362.847,144.3,20.5418,18.5545,81.4993,4.47225,15.2873,0,1.55182,0,-0.12067,1,1,61.1055,1,1,51.3358,0,0,-12.59835,0,0,0,2.14234,125.465,0.321833,61.1055,51.3358,-12.5984,0.075361,5.10392,17.7023,6.92764,17.7967
2023-07-24 07:00,213.8,379.718,127.907,21.3352,18.6474,78.5473,5.44498,15.2882,0,2.62871,0,-0.04876,1,1,28.33033,1,1,50.9565,0,0,-11.85867,0,0,0,1.23957,123.005,0.204857,28.3303,50.9565,-11.8587,0.0748615,5.12847,16.9871,6.93229,17.4578
2023-07-24 07:30,390.201,693.215,258.938,22.3113,18.743,75.9537,6.4779,15.2917,0,3.87545,0,-0.117084,1,1,95.4394,0,0,123.4147,0,0,-21.41651,0,0,0,1.21077,122.148,0.31796,95.4394,123.415,-21.4165,0.181483,5.15388,26.5704,6.9376,24.9491
2023-07-24 08:00,433.625,788.336,304.281,23.4488,18.9105,69.3591,8.84291,15.2889,0,5.31514,0,-0.141786,1,1,102.8556,0,0,172.8493,0,0,-25.93295,0,0,0,1.53826,121.436,0.350558,102.856,172.849,-25.933,0.254458,5.20177,31.1347,6.96464,26.2893
2023-07-24 08:30,575.37,1041.9,418.672,24.2804,19.1703,65.6832,10.4112,15.2971,0,6.78262,0,-0.211233,1,1,115.0871,0,0,138.48333,0,0,-19.13013,0,0,0,2.17906,114.293,0.428529,115.087,138.483,-19.1301,0.204031,5.2788,24.4089,7.01953,29.8066
2023-07-24 09:00,660.934,1210.85,495.837,25.1499,19.3978,62.8866,11.8594,15.3047,0,8.63183,0,-0.231962,1,1,211.733,0,0,251.41322,0,0,-32.38022,0,0,0,1.61384,92.1665,0.449785,211.733,251.413,-32.3802,0.370726,5.3461,37.7263,7.06431,31.0378
2023-07-24 09:30,588.805,1105.83,448.966,25.8556,19.6596,62.1314,12.6182,15.3112,0,10.7555,0,-0.456524,0,0,143.2167,0,0,238.6337,0,0,-27.69544,0,0,0,1.88972,86.2713,0.631972,143.217,238.634,-27.6954,0.352123,5.42465,33.1201,7.11926,29.365
2023-07-24 10:00,655.179,1231.7,501.628,26.6261,19.8681,59.2569,14.2075,15.3175,0,11.9739,0,-0.43983,0,0,114.3296,0,0,194.27776,0,0,-25.71218,0,0,0,2.66855,84.5991,0.621271,114.33,194.278,-25.7122,0.286887,5.48661,31.1988,7.15771,30.1224
2023-07-24 10:30,864.032,1620.82,681.069,27.9956,20.0723,53.4706,17.5793,15.3106,0,13.1926,0,-0.524849,0,0,153.3833,0,0,450.4231,1,1,-22.01118,0,0,0,2.29852,93.4174,0.680311,153.383,450.423,-22.0112,0.666019,5.54747,27.5587,7.19459,31.9558
2023-07-24 11:00,525.661,1005.48,406.864,29.3287,20.3548,44.1695,22.7869,15.3073,0,15.1397,0,-0.618516,0,0,26.8531,2,2,346.5155,1,1,-20.10963,0,0,0,2.68698,146.949,0.740144,34.8297,346.516,-20.1096,0.513042,5.63391,25.7435,7.25496,25.2881
2023-07-24 11:30,419.312,800.873,313.552,29.2983,20.4727,44.7353,22.5165,15.3075,0,15.8285,0,-0.446848,0,0,-1.049379,0,0,187.42034,0,0,-15.89562,0,0,0,2.14987,178.316,0.62919,-1.04938,187.42,-15.8956,0.277481,5.66738,21.563,7.26509,22.9657
2023-07-24 12:00,574.853,1109.68,447.138,29.728,20.5492,45.7819,22.6433,15.3075,0,15.657,0,-0.545837,0,0,35.2515,0,0,329.3412,0,0,-25.39886,0,0,0,2.68304,178.778,0.696168,35.2515,329.341,-25.3989,0.487804,5.68744,31.0863,7.26251,26.2515
2023-07-24 12:30,731.714,1394.42,568.263,30.1906,20.7085,45.1835,23.509,15.3034,0,16.2119,0,-0.700124,0,2,93.3595,0,2,274.0069,0,2,-19.3508,0,2,2,3.15715,174.477,0.789312,121.709,283.725,-16.9996,0.420429,5.73448,22.7341,7.28477,28.4173
2023-07-24 13:00,520.684,996.856,397.742,30.5315,20.9091,45.2125,23.9593,15.2987,0,17.3307,0,-0.40426,0,0,31.27134,0,0,253.8213,0,0,-18.12336,0,0,0,2.38833,169.469,0.600363,31.2713,253.821,-18.1234,0.376242,5.79517,23.9185,7.31923,24.9195
2023-07-24 13:30,529.396,1012.71,401.099,31.0861,21.0649,43.1863,25.6434,15.2994,0,18.0179,0,-0.497682,0,0,35.2024,0,0,355.7982,0,0,-24.98357,0,0,0,2.34924,168.426,0.666857,35.2024,355.798,-24.9836,0.527689,5.84137,30.8249,7.33992,24.7067
2023-07-24 14:00,655.215,1265.36,497.441,31.5938,21.1777,41.0227,27.3986,15.3041,0,18.3301,0,-0.396636,0,0,48.7996,0,0,338.8754,0,0,-24.321794,0,0,0,2.04649,171.93,0.595936,48.7996,338.875,-24.3218,0.50284,5.87353,30.1953,7.34746,26.3652
2023-07-24 14:30,698.842,1352.18,525.157,32.2884,21.3584,36.0832,30.8826,15.3007,0,19.0289,0,-0.887901,0,2,78.5651,0,2,286.405,0,2,-15.25211,0,2,2,3.35148,177.376,0.892601,95.0482,329.448,-19.1945,0.489183,5.92816,25.1227,7.37515,26.088
2023-07-24 15:00,543.851,1053.77,401.238,32.0009,21.4714,39.7897,28.6234,15.2987,0,19.4234,0,-1.11979,0,0,13.14864,0,0,399.4305,0,0,-19.83462,0,0,0,3.56039,162.55,1.00251,13.1486,399.43,-19.8346,0.59293,5.96052,25.7951,7.3823,24.3498
2023-07-24 15:30,143.938,277.24,78.9054,30.881,21.4679,43.7795,25.0811,15.2982,0,18.8453,0,-1.19826,0,0,-62.7755,1,1,179.7668,0,0,-6.60577,1,1,1,4.42396,159.222,1.03568,-62.7755,179.767,-6.60577,0.266561,5.95432,12.5601,7.35452,11.8956
2023-07-24 16:00,68.6748,133.958,16.4819,30.2056,21.3494,44.15,23.9729,15.3065,0,17.1685,0,-0.914431,0,0,-89.1094,0,0,61.9565,0,0,0.744651,2,2,2,3.28222,175.931,0.903746,-89.1094,61.9565,-1.30679,0.0918096,5.91016,7.21695,7.29261,6.69601
2023-07-24 16:30,77.7965,152.634,28.1797,29.8291,21.2377,46.333,22.5438,15.3152,0,15.5335,0,-0.29244,0,0,-62.52497,0,0,85.7091,0,0,-1.911994,2,2,2,1.8321,181.035,0.510822,-62.525,85.7091,-1.23966,0.126961,5.86842,7.10808,7.23301,7.44143
2023-07-24 17:00,83.8301,167.759,37.8433,29.513,21.1445,48.0467,21.4309,15.3167,0.0200195,14.3198,0,-0.0788023,0,0,-30.91042,0,0,31.0582,1,1,-1.858558,1,1,1,1.50514,171.701,0.265056,-30.9104,31.0582,-1.85856,0.0459922,5.8329,7.69146,7.17911,7.92078
2023-07-24 17:30,69.7207,141.463,20.6321,29.2135,21.0678,50.2224,20.182,15.3177,0.0100098,13.4016,0,-0.0832541,0,0,-31.44452,0,0,54.4833,0,0,-2.395314,1,1,1,1.68133,154.284,0.272486,-31.4445,54.4833,-2.39531,0.0806574,5.80289,8.19821,7.13027,6.80166
2023-07-24 18:00,30.1559,73.4762,8.18985,25.1735,20.9872,76.5849,7.49272,15.3226,0.809937,12.4846,0,-0.131089,0,0,-133.9551,0,1,175.33441,2,2,5.813424,2,2,2,2.00014,325.328,0.339804,-133.955,52.6125,5.35675,0.0775825,5.77171,0.414961,7.08047,3.25025
2023-07-24 18:30,16.9118,31.1258,1.04006,23.5248,20.8938,84.8497,4.39242,15.325,0,11.5894,0,-0.116802,1,1,-109.3474,0,0,142.7300255,1,1,12.97589,0,0,0,1.8349,327.046,0.319902,-109.347,142.73,12.9759,0.210133,5.73647,-7.23942,7.02715,1.8692
2023-07-24 19:00,19.294,34.8704,-0.170887,23.1741,20.7727,82.1454,5.0681,15.326,0,10.5024,0,-0.0626818,1,1,-7.943144,2,2,-37.505,0,0,-0.76986,2,2,2,1.43472,341.41,0.234168,-45.96,-37.505,4.8729,-0.0551978,5.69242,0.819515,6.96607,2.11548
2023-07-24 19:30,12.6463,17.0579,-10.154,22.5323,20.6234,85.9225,3.84365,15.3251,0,9.19779,0,-0.0419758,0,0,-30.044,0,0,23.0031,0,0,4.9766,0,0,0,1.58966,320.906,0.191443,-30.044,23.0031,4.9766,0.0338336,5.6437,0.667103,6.89719,1.40234
2023-07-24 20:00,0.433425,0.744607,-20.3989,22.3594,20.4917,87.7951,3.29755,15.3226,0,8.07156,0,-0.0357747,0,0,-54.72035,0,0,64.254,1,2,9.81798,0,0,0,2.19135,256.797,0.176672,-54.7204,11.2204,9.81798,0.0165005,5.60083,-4.21715,6.83372,0.0492111
2023-07-24 20:30,0,0,-24.3958,23.6556,20.3882,74.2717,7.51822,15.3185,0.0300293,7.27877,0,-0.0525504,0,0,-8.6577,0,0,-25.2263,0,0,6.066285,1,1,1,2.45778,284.836,0.214572,-8.6577,-25.2263,6.06628,-0.037144,5.56713,-0.499155,6.7786,0
